id,prompt,task_type,difficulty,difficulty_bucket,required_quality,risk_level,expected_output_tokens,latency_sensitivity
pc_0055,Fix a race condition in this messaging system.,debugging,0.881,hard,0.97,high,848,low
pc_0056,Brainstorm names for a product about Redis.,creative,0.342,easy,0.59,low,402,medium
pc_0057,"Parse this invoice and return action items, owners, deadlines.",extraction,0.374,medium,0.75,medium,499,high
pc_0058,Write a TypeScript function to distributed cache.,coding,0.64,medium,0.812,medium,593,medium
pc_0059,Create a FastAPI endpoint that system reliability.,coding,0.577,medium,0.841,medium,700,medium
pc_0060,Summarize pros and cons of AI productivity.,summarization,0.361,medium,0.743,medium,379,high
pc_0061,"Extract invoice number, date, amount from this text and return valid JSON: The team decided to ship next week but wants rollback guardrails and better monitoring.",extraction,0.364,medium,0.794,medium,379,high
pc_0062,Draft a professional message about Kubernetes autoscaling.,writing,0.212,easy,0.606,low,388,high
pc_0063,Explain Redis in simple terms.,factual,0.33,easy,0.8,medium,506,medium
pc_0064,Analyze pros and cons of multi-region failover for a high-scale system.,reasoning,0.742,hard,0.903,high,1011,low
pc_0065,Extract key decisions from this meeting note: def f(items): return items[len(items)],summarization,0.408,medium,0.738,medium,477,high
pc_0066,Prove or disprove: AI productivity.,math,0.822,hard,0.97,high,755,low
pc_0067,Design a multi-region vector database with strong consistency.,system_design,0.862,hard,0.97,high,1140,low
pc_0068,Debug this JavaScript code that fails with deadlock: The team decided to ship next week but wants rollback guardrails and better monitoring.,debugging,0.856,hard,0.97,high,924,low
pc_0069,Summarize pros and cons of Redis.,summarization,0.414,medium,0.732,medium,397,high
pc_0070,Generate unit tests for this Python function: The model endpoint has variable latency and some requests need premium quality.,coding,0.553,medium,0.824,medium,649,medium
pc_0071,"Parse this invoice and return invoice number, date, amount.",extraction,0.222,easy,0.803,medium,279,high
pc_0072,"Given these constraints, choose the best approach and justify it: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",reasoning,0.587,medium,0.91,high,986,low
pc_0073,Create a short caption for release pipeline.,writing,0.064,easy,0.57,low,243,high
pc_0074,"Given these constraints, choose the best approach and justify it: The team decided to ship next week but wants rollback guardrails and better monitoring.",reasoning,0.642,medium,0.888,high,961,medium
pc_0075,Analyze why this service has memory leak under load.,debugging,0.809,hard,0.97,high,812,low
pc_0076,Summarize this document into 3 bullet points: The model endpoint has variable latency and some requests need premium quality.,summarization,0.32,easy,0.688,medium,430,high
pc_0077,"Parse this invoice and return name, email, phone.",extraction,0.328,easy,0.785,medium,463,high
pc_0078,"Given these constraints, choose the best approach and justify it: def f(items): return items[len(items)]",reasoning,0.689,medium,0.948,high,938,low
pc_0079,Design a multi-region invoice processing with low latency.,system_design,0.865,hard,0.97,high,1237,low
pc_0080,Create a short caption for customer apology.,writing,0.149,easy,0.607,low,290,high
pc_0081,"Given these constraints, choose the best approach and justify it: The service receives bursty traffic, retries requests, and sometimes returns stale data.",reasoning,0.571,medium,0.93,high,859,low
pc_0082,Summarize pros and cons of birthday wish.,summarization,0.328,easy,0.726,medium,454,high
pc_0083,Create a FastAPI endpoint that memory leak.,coding,0.634,medium,0.822,medium,670,medium
pc_0084,Give a concise overview of URL shortener.,factual,0.313,easy,0.756,medium,450,medium
pc_0085,Summarize this document into 10 bullet points: CPU usage increases after every deployment and memory is not released after requests complete.,summarization,0.371,medium,0.744,medium,496,high
pc_0086,Create a short caption for Kubernetes autoscaling.,writing,0.121,easy,0.597,low,273,high
pc_0087,Design a scalable multi-region failover for 10M users.,system_design,0.943,hard,0.953,high,1312,low
pc_0088,Analyze why this service has incorrect retry behavior under load.,debugging,0.724,hard,0.875,high,669,low
pc_0089,Find the error in this derivation: def f(items): return items[len(items)],math,0.665,medium,0.965,high,674,low
pc_0090,"Find the error in this derivation: The service receives bursty traffic, retries requests, and sometimes returns stale data.",math,0.601,medium,0.97,high,579,low
pc_0091,Create a short caption for birthday wish.,writing,0.173,easy,0.622,low,219,high
pc_0092,"Design rate limiting with observability, fallback, and autoscaling.",system_design,0.829,hard,0.97,high,1146,low
pc_0093,Fix a memory leak in this inference system.,debugging,0.829,hard,0.918,high,866,low
pc_0094,Extract key decisions from this meeting note: CPU usage increases after every deployment and memory is not released after requests complete.,summarization,0.333,easy,0.71,medium,411,high
pc_0095,Create a short caption for binary search.,writing,0.115,easy,0.609,low,147,high
pc_0096,Create a short caption for system reliability.,writing,0.142,easy,0.61,low,166,high
pc_0097,Summarize pros and cons of AI productivity.,summarization,0.337,easy,0.733,medium,337,high
pc_0098,Prove or disprove: system reliability.,math,0.693,medium,0.953,high,706,low
pc_0099,"Extract company, role, location from this text and return valid JSON: The service receives bursty traffic, retries requests, and sometimes returns stale data.",extraction,0.249,easy,0.751,medium,424,high
pc_0100,Brainstorm names for a product about Kafka.,creative,0.341,easy,0.575,low,410,medium
pc_0101,Generate 10 viral reel ideas about Redis.,creative,0.3,easy,0.634,low,416,medium
pc_0102,Explain LLM inference router in simple terms.,factual,0.361,medium,0.797,medium,379,medium
pc_0103,"Design release pipeline with observability, fallback, and autoscaling.",system_design,0.802,hard,0.97,high,1051,low
pc_0104,"Rewrite this message in a casual tone: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",writing,0.145,easy,0.596,low,246,high
pc_0105,Create a FastAPI endpoint that prompt caching.,coding,0.45,medium,0.821,medium,555,medium
pc_0106,Extract key decisions from this meeting note: CPU usage increases after every deployment and memory is not released after requests complete.,summarization,0.341,easy,0.687,medium,494,high
pc_0107,Give a concise overview of system reliability.,factual,0.406,medium,0.819,medium,409,medium
pc_0108,Extract entities from this paragraph: def f(items): return items[len(items)],extraction,0.286,easy,0.773,medium,419,high
pc_0109,Rewrite this message in a direct tone: The model endpoint has variable latency and some requests need premium quality.,writing,0.266,easy,0.564,low,286,high
pc_0110,Calculate URL shortener and explain the reasoning.,math,0.51,medium,0.914,high,599,low
pc_0111,Rewrite this message in a concise tone: The model endpoint has variable latency and some requests need premium quality.,writing,0.154,easy,0.606,low,318,high
pc_0112,Compare Kubernetes autoscaling and multi-region failover with tradeoffs.,reasoning,0.76,hard,0.949,high,1028,low
pc_0113,Implement LRU cache in C++.,coding,0.443,medium,0.784,medium,504,medium
pc_0114,Explain the failure modes of binary search.,reasoning,0.574,medium,0.946,high,946,low
pc_0115,"Find the bug in this Rust code and explain the fix: The service receives bursty traffic, retries requests, and sometimes returns stale data.",debugging,0.756,hard,0.944,high,739,low
pc_0116,Create an architecture for rate limiting optimized for latency and cost.,system_design,0.842,hard,0.97,high,1204,low
pc_0117,Design a scalable memory leak for 10M users.,system_design,0.846,hard,0.97,high,1170,low
pc_0118,Find the error in this derivation: def f(items): return items[len(items)],math,0.703,hard,0.933,high,808,low
pc_0119,Prove or disprove: rate limiting.,math,0.766,hard,0.97,high,881,low
pc_0120,Write a short script for a persuasive video about prompt caching.,creative,0.143,easy,0.585,low,189,medium
pc_0121,Implement LRU cache in Rust.,coding,0.48,medium,0.857,medium,555,medium
pc_0122,Prove or disprove: multi-region failover.,math,0.803,hard,0.97,high,837,low
pc_0123,Explain when to use Redis in production systems.,factual,0.518,medium,0.792,medium,661,medium
pc_0124,Find the bug in this Python code and explain the fix: The model endpoint has variable latency and some requests need premium quality.,debugging,0.727,hard,0.912,high,811,low
pc_0125,"Extract name, email, phone from this text and return valid JSON: The service receives bursty traffic, retries requests, and sometimes returns stale data.",extraction,0.252,easy,0.817,medium,326,high
pc_0126,Explain multi-region failover in simple terms.,factual,0.564,medium,0.814,medium,518,medium
pc_0127,Create a short caption for distributed cache.,writing,0.186,easy,0.597,low,253,high
pc_0128,Design a multi-region Kubernetes autoscaling with strong consistency.,system_design,0.904,hard,0.958,high,1133,low
pc_0129,Fix a incorrect retry behavior in this messaging system.,debugging,0.725,hard,0.925,high,660,low
pc_0130,Compare URL shortener and memory leak with tradeoffs.,reasoning,0.687,medium,0.906,high,1068,low
pc_0131,Create a FastAPI endpoint that customer apology.,coding,0.478,medium,0.853,medium,464,medium
pc_0132,Rewrite this message in a concise tone: def f(items): return items[len(items)],writing,0.191,easy,0.564,low,225,high
pc_0133,Analyze why this service has incorrect retry behavior under load.,debugging,0.627,medium,0.898,high,579,low
pc_0134,Solve this math problem step by step: release pipeline.,math,0.829,hard,0.97,high,830,low
pc_0135,Rewrite this message in a persuasive tone: CPU usage increases after every deployment and memory is not released after requests complete.,writing,0.235,easy,0.594,low,326,high
pc_0136,"Parse this invoice and return name, email, phone.",extraction,0.236,easy,0.743,medium,383,high
pc_0137,Design a scalable memory leak for enterprise customers.,system_design,0.932,hard,0.97,high,1204,low
pc_0138,"Classify this support ticket and extract priority, owner, and due date: def f(items): return items[len(items)]",extraction,0.299,easy,0.818,medium,448,high
pc_0139,Explain the failure modes of binary search.,reasoning,0.707,hard,0.882,high,1049,medium
pc_0140,Draft a professional message about birthday wish.,writing,0.126,easy,0.626,low,149,high
pc_0141,Explain when to use vector database in production systems.,factual,0.524,medium,0.749,medium,668,medium
pc_0142,"Find the bug in this TypeScript code and explain the fix: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",debugging,0.678,medium,0.941,high,724,low
pc_0143,Summarize pros and cons of Kafka.,summarization,0.42,medium,0.726,medium,492,high
pc_0144,What is the difference between RabbitMQ and memory leak?,factual,0.593,medium,0.779,medium,576,medium
pc_0145,Create an architecture for system reliability optimized for latency and cost.,system_design,0.757,hard,0.97,high,975,low
pc_0146,Extract entities from this paragraph: The model endpoint has variable latency and some requests need premium quality.,extraction,0.305,easy,0.762,medium,362,high
pc_0147,Draft a professional message about distributed cache.,writing,0.253,easy,0.637,low,361,high
pc_0148,Calculate Kubernetes autoscaling and explain the reasoning.,math,0.572,medium,0.904,high,642,low
pc_0149,"Generate unit tests for this C++ function: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",coding,0.525,medium,0.794,medium,556,medium
pc_0150,Rewrite this message in a concise tone: def f(items): return items[len(items)],writing,0.142,easy,0.639,low,336,high
pc_0151,Create a short caption for race condition.,writing,0.217,easy,0.635,low,324,high
pc_0152,Extract entities from this paragraph: The model endpoint has variable latency and some requests need premium quality.,extraction,0.282,easy,0.769,medium,292,high
pc_0153,Create a short caption for Redis.,writing,0.05,easy,0.588,low,95,high
pc_0154,"Given these constraints, choose the best approach and justify it: The team decided to ship next week but wants rollback guardrails and better monitoring.",reasoning,0.631,medium,0.881,high,943,medium
pc_0155,Explain when to use URL shortener in production systems.,factual,0.389,medium,0.777,medium,394,medium
pc_0156,Explain vector database in simple terms.,factual,0.442,medium,0.756,medium,485,medium
pc_0157,Extract entities from this paragraph: CPU usage increases after every deployment and memory is not released after requests complete.,extraction,0.315,easy,0.784,medium,471,high
pc_0158,Generate 3 viral reel ideas about Kafka.,creative,0.325,easy,0.617,low,402,medium
pc_0159,Draft a professional message about prompt caching.,writing,0.243,easy,0.613,low,326,high
pc_0160,"Summarize this document into 3 bullet points: The service receives bursty traffic, retries requests, and sometimes returns stale data.",summarization,0.38,medium,0.698,medium,448,high
pc_0161,Create a FastAPI endpoint that birthday wish.,coding,0.39,medium,0.816,medium,413,medium
pc_0162,Find the error in this derivation: The model endpoint has variable latency and some requests need premium quality.,math,0.674,medium,0.944,high,644,low
pc_0163,Design a multi-region system reliability with high availability.,system_design,0.845,hard,0.97,high,1097,low
pc_0164,Analyze why this service has deadlock under load.,debugging,0.782,hard,0.97,high,829,low
pc_0165,"Given these constraints, choose the best approach and justify it: CPU usage increases after every deployment and memory is not released after requests complete.",reasoning,0.664,medium,0.924,high,974,low
pc_0166,Create an executive summary of this URL shortener document.,summarization,0.268,easy,0.723,medium,422,high
pc_0167,"Parse this invoice and return name, email, phone.",extraction,0.301,easy,0.78,medium,460,high
pc_0168,Analyze why this service has race condition under load.,debugging,0.865,hard,0.955,high,962,low
pc_0169,Brainstorm names for a product about distributed cache.,creative,0.356,medium,0.676,low,524,medium
pc_0170,"Classify this support ticket and extract priority, owner, and due date: def f(items): return items[len(items)]",extraction,0.318,easy,0.774,medium,456,high
pc_0171,Create an executive summary of this release pipeline document.,summarization,0.428,medium,0.734,medium,417,high
pc_0172,Summarize pros and cons of multi-region failover.,summarization,0.413,medium,0.731,medium,540,high
pc_0173,Create a FastAPI endpoint that multi-region failover.,coding,0.696,medium,0.831,medium,799,medium
pc_0174,Write a C++ function to memory leak.,coding,0.631,medium,0.819,medium,652,medium
pc_0175,Design a scalable multi-region failover for global traffic.,system_design,0.888,hard,0.97,high,1155,low
pc_0176,Create a short caption for rate limiting.,writing,0.055,easy,0.568,low,130,high
pc_0177,Debug this Python code that fails with segmentation fault: The model endpoint has variable latency and some requests need premium quality.,debugging,0.631,medium,0.901,high,753,low
pc_0178,Summarize this document into 5 bullet points: The team decided to ship next week but wants rollback guardrails and better monitoring.,summarization,0.326,easy,0.697,medium,498,high
pc_0179,Summarize pros and cons of Kafka.,summarization,0.31,easy,0.732,medium,356,high
pc_0180,Prove or disprove: Kubernetes autoscaling.,math,0.729,hard,0.941,high,667,low
pc_0181,Solve this math problem step by step: real-time chat system.,math,0.701,hard,0.911,high,635,low
pc_0182,Draft a professional message about multi-region failover.,writing,0.253,easy,0.566,low,297,high
pc_0183,Extract key decisions from this meeting note: The model endpoint has variable latency and some requests need premium quality.,summarization,0.418,medium,0.689,medium,541,high
pc_0184,Compare distributed cache and AI productivity with tradeoffs.,reasoning,0.749,hard,0.93,high,1035,low
pc_0185,Design a scalable binary search for multi-region deployment.,system_design,0.898,hard,0.97,high,1237,low
pc_0186,Extract key decisions from this meeting note: The model endpoint has variable latency and some requests need premium quality.,summarization,0.345,easy,0.711,medium,361,high
pc_0187,"Extract company, role, location from this text and return valid JSON: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",extraction,0.364,medium,0.754,medium,471,high
pc_0188,Draft a professional message about Kubernetes autoscaling.,writing,0.22,easy,0.597,low,367,high
pc_0189,"Find the bug in this Java code and explain the fix: The service receives bursty traffic, retries requests, and sometimes returns stale data.",debugging,0.62,medium,0.923,high,745,low
pc_0190,Create an architecture for birthday wish optimized for latency and cost.,system_design,0.706,hard,0.97,high,1047,low
pc_0191,Design a scalable birthday wish for global traffic.,system_design,0.687,medium,0.97,high,1013,low
pc_0192,Create an architecture for Redis optimized for latency and cost.,system_design,0.77,hard,0.96,high,1075,low
pc_0193,Write a short script for a warm video about invoice processing.,creative,0.274,easy,0.586,low,285,medium
pc_0194,Design a multi-region birthday wish with low latency.,system_design,0.775,hard,0.958,high,1023,low
pc_0195,Summarize this document into 7 bullet points: The team decided to ship next week but wants rollback guardrails and better monitoring.,summarization,0.414,medium,0.715,medium,414,high
pc_0196,Create a short caption for invoice processing.,writing,0.074,easy,0.575,low,164,high
pc_0197,"Find the bug in this TypeScript code and explain the fix: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",debugging,0.642,medium,0.886,high,709,low
pc_0198,"Extract company, role, location from this text and return valid JSON: The team decided to ship next week but wants rollback guardrails and better monitoring.",extraction,0.225,easy,0.805,medium,291,high
pc_0199,Draft a professional message about prompt caching.,writing,0.212,easy,0.639,low,309,high
pc_0200,Implement retry with exponential backoff in JavaScript.,coding,0.572,medium,0.847,medium,641,medium
pc_0201,Prove or disprove: release pipeline.,math,0.819,hard,0.957,high,771,low
pc_0202,Explain prompt caching in simple terms.,factual,0.338,easy,0.751,medium,357,medium
pc_0203,"Design multi-region failover with observability, fallback, and autoscaling.",system_design,0.868,hard,0.95,high,1247,low
pc_0204,Find the error in this derivation: CPU usage increases after every deployment and memory is not released after requests complete.,math,0.582,medium,0.918,high,606,low
pc_0205,Summarize this document into 5 bullet points: def f(items): return items[len(items)],summarization,0.332,easy,0.739,medium,353,high
pc_0206,Create a FastAPI endpoint that system reliability.,coding,0.462,medium,0.788,medium,509,medium
pc_0207,Summarize pros and cons of system reliability.,summarization,0.286,easy,0.696,medium,321,high
pc_0208,"Generate unit tests for this Rust function: The service receives bursty traffic, retries requests, and sometimes returns stale data.",coding,0.488,medium,0.804,medium,614,medium
pc_0209,Explain the failure modes of AI productivity.,reasoning,0.612,medium,0.921,high,949,low
pc_0210,"Classify this support ticket and extract priority, owner, and due date: The service receives bursty traffic, retries requests, and sometimes returns stale data.",extraction,0.34,easy,0.793,medium,340,high
pc_0211,"Given these constraints, choose the best approach and justify it: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",reasoning,0.646,medium,0.876,high,1061,medium
pc_0212,"Rewrite this message in a friendly tone: User John Doe, john@example.com, +1 555 0100, requested cancellation by Friday.",writing,0.144,easy,0.608,low,233,high
pc_0213,Design a scalable system reliability for enterprise customers.,system_design,0.845,hard,0.959,high,1086,low
pc_0214,Summarize this document into 7 bullet points: CPU usage increases after every deployment and memory is not released after requests complete.,summarization,0.276,easy,0.702,medium,300,high
pc_0215,Explain the failure modes of binary search.,reasoning,0.707,hard,0.925,high,989,low
pc_0216,Extract key decisions from this meeting note: The model endpoint has variable latency and some requests need premium quality.,summarization,0.409,medium,0.746,medium,508,high
pc_0217,Summarize this document into 3 bullet points: CPU usage increases after every deployment and memory is not released after requests complete.,summarization,0.417,medium,0.736,medium,454,high
pc_0218,Create a FastAPI endpoint that multi-region failover.,coding,0.628,medium,0.808,medium,629,medium
pc_0219,Design a scalable memory leak for multi-region deployment.,system_design,0.843,hard,0.97,high,1242,low
pc_0220,Design a scalable multi-region failover for 100K requests per second.,system_design,0.98,hard,0.97,high,1280,low
pc_0221,What is the difference between birthday wish and vector database?,factual,0.335,easy,0.795,medium,437,medium
pc_0222,Create a short caption for Redis.,writing,0.091,easy,0.571,low,113,high
pc_0223,Explain the failure modes of race condition.,reasoning,0.816,hard,0.97,high,1194,low
pc_0224,Generate unit tests for this Java function: def f(items): return items[len(items)],coding,0.564,medium,0.832,medium,565,medium
pc_0225,Implement binary search in TypeScript.,coding,0.571,medium,0.786,medium,564,medium
pc_0226,Debug this Java code that fails with segmentation fault: The team decided to ship next week but wants rollback guardrails and better monitoring.,debugging,0.671,medium,0.927,high,799,low
pc_0227,Draft a professional message about binary search.,writing,0.141,easy,0.595,low,258,high
pc_0228,Create a FastAPI endpoint that AI productivity.,coding,0.537,medium,0.798,medium,574,medium
pc_0229,What is the difference between birthday wish and prompt caching?,factual,0.374,medium,0.775,medium,522,medium
pc_0230,Extract key decisions from this meeting note: The team decided to ship next week but wants rollback guardrails and better monitoring.,summarization,0.351,medium,0.69,medium,510,high
pc_0231,Compare system reliability and vector database with tradeoffs.,reasoning,0.631,medium,0.914,high,987,low
pc_0232,Design a multi-region Kubernetes autoscaling with eventual consistency.,system_design,0.955,hard,0.959,high,1170,low
pc_0233,Summarize pros and cons of Kafka.,summarization,0.416,medium,0.735,medium,506,high
pc_0234,Implement sliding window in Python.,coding,0.523,medium,0.817,medium,549,medium
pc_0235,Explain when to use URL shortener in production systems.,factual,0.396,medium,0.754,medium,457,medium
pc_0236,Fix a latency spike in this inference system.,debugging,0.724,hard,0.934,high,673,low
pc_0237,Summarize this document into 10 bullet points: CPU usage increases after every deployment and memory is not released after requests complete.,summarization,0.411,medium,0.738,medium,412,high
pc_0238,Analyze why this service has cache stampede under load.,debugging,0.71,hard,0.948,high,804,low
pc_0239,Write a Rust function to customer apology.,coding,0.556,medium,0.848,medium,544,medium
pc_0240,Draft a professional message about binary search.,writing,0.134,easy,0.6,low,223,high
pc_0241,Summarize pros and cons of distributed cache.,summarization,0.423,medium,0.734,medium,476,high
pc_0242,Write a JavaScript function to invoice processing.,coding,0.475,medium,0.846,medium,507,medium
pc_0243,Prove or disprove: release pipeline.,math,0.724,hard,0.956,high,693,low
pc_0244,Create an architecture for release pipeline optimized for latency and cost.,system_design,0.805,hard,0.954,high,1124,low
pc_0245,Explain the failure modes of prompt caching.,reasoning,0.637,medium,0.919,high,1048,low
pc_0246,Write a short script for a direct video about binary search.,creative,0.228,easy,0.585,low,411,medium
pc_0247,Calculate vector database and explain the reasoning.,math,0.588,medium,0.918,high,652,low
pc_0248,Explain the failure modes of Kubernetes autoscaling.,reasoning,0.69,medium,0.883,high,989,medium
pc_0249,Create an architecture for Kubernetes autoscaling optimized for latency and cost.,system_design,0.839,hard,0.97,high,1102,low
pc_0250,Fix a race condition in this messaging system.,debugging,0.886,hard,0.966,high,947,low
pc_0251,Implement retry with exponential backoff in Java.,coding,0.465,medium,0.801,medium,465,medium
pc_0252,"Given these constraints, choose the best approach and justify it: The service receives bursty traffic, retries requests, and sometimes returns stale data.",reasoning,0.696,medium,0.914,high,939,low
pc_0253,Create an architecture for URL shortener optimized for latency and cost.,system_design,0.746,hard,0.936,high,1039,low
pc_0254,Extract entities from this paragraph: The team decided to ship next week but wants rollback guardrails and better monitoring.,extraction,0.306,easy,0.763,medium,422,high
pc_0255,Create a cinematic video prompt for invoice processing.,creative,0.221,easy,0.565,low,388,medium
pc_0256,Analyze pros and cons of distributed cache for a high-scale system.,reasoning,0.704,hard,0.874,high,992,medium
pc_0257,Solve this math problem step by step: Redis.,math,0.691,medium,0.948,high,633,low
pc_0258,Generate 7 viral reel ideas about rate limiting.,creative,0.225,easy,0.573,low,277,medium
pc_0259,Summarize pros and cons of Kubernetes autoscaling.,summarization,0.362,medium,0.712,medium,477,high
pc_0260,Create a short caption for Kafka.,writing,0.147,easy,0.605,low,168,high
pc_0261,Brainstorm names for a product about LLM inference router.,creative,0.241,easy,0.612,low,259,medium
pc_0262,Explain customer apology in simple terms.,factual,0.34,easy,0.803,medium,501,medium
pc_0263,"Design real-time chat system with observability, fallback, and autoscaling.",system_design,0.817,hard,0.97,high,1059,low
pc_0264,Calculate LLM inference router and explain the reasoning.,math,0.646,medium,0.952,high,671,low
